Business Family,Business Unit,Customer,Customer Type,CustomerKey,Line of Business,Phone,Search Type
R2,1,Tadpole Shop,G2,10024940,nao informado,816-455-8733,C
R2,1,TAGnology Shop,G2,10024999,nao informado,816-455-8733,C
R2,1,Tampere Shop,G2,10025037,nao informado,816-455-8733,C
R2,1,Tanager Shop,G2,10025038,nao informado,816-455-8733,C
R2,1,Tatters Shop,G2,10025213,nao informado,816-455-8733,C
R2,1,Telesat Supermarket,G2,10025247,nao informado,816-455-8733,C
R2,1,TICOR Shop,G2,10025250,nao informado,816-455-8733,C
R2,1,Time Supermarket,G2,10025251,nao informado,816-455-8733,C
R2,1,Total Store,G2,10025353,nao informado,816-455-8733,I
R2,1,TransCanada Store,G2,10025287,nao informado,816-455-8733,C
R2,1,Ultra-Image Shop,G2,10025418,nao informado,816-455-8733,C
R2,1,UNIS Supermarket,G2,10025549,nao informado,816-455-8733,C
R2,1,United Market,G2,10025583,nao informado,816-455-8733,C
R2,1,United Store,G2,10025587,nao informado,816-455-8733,C
R2,1,Venable Shop,G2,10026062,nao informado,816-455-8733,C
R2,1,WarRoom Store,G3,10026268,nao informado,816-455-8733,C
R2,1,Xediom Shop,G2,10026532,nao informado,816-455-8733,C
R2,1,Zephyr Shop,G2,10027348,nao informado,816-455-8733,I
R2,1,Zilog Shop,G2,10027560,nao informado,816-455-8733,C
R2,1,zNET Shop,G2,10027583,nao informado,816-455-8733,C
R3,1,A Supermarket,G1,10000453,nao informado,816-455-8733,C
R3,1,A&R Market,G2,10000458,nao informado,816-455-8733,C
R3,1,a2i Shop,G2,10000462,nao informado,816-455-8733,C
R3,1,A2Z Store,G2,10000466,nao informado,816-455-8733,C
R3,1,A-2-Z Supermarket,G3,10000469,nao informado,816-455-8733,C
R3,1,Aadast Shop,G1,10000471,M1,816-455-8733,C
R3,1,Aaron Store,G2,10000472,nao informado,816-455-8733,C
R3,1,Aaron Supermarket,G2,10000473,nao informado,816-455-8733,C
R3,1,AA-Wizard Shop,G2,10000475,nao informado,816-455-8733,C
R3,1,Abacus Market,G2,10000478,nao informado,816-455-8733,C
R3,1,Aberdeen Shop,G2,10000486,nao informado,816-455-8733,C
R3,1,ABI Supermarket,G1,10000488,M1,816-455-8733,C
R3,1,AboveNet Shop,G2,10000496,nao informado,816-455-8733,C
R3,1,Abplus Shop,G1,10000497,nao informado,816-455-8733,C
R3,1,ABSolute Shop,G2,10000499,nao informado,816-455-8733,C
R3,1,Absolute Supermarket,G3,10000501,nao informado,816-455-8733,C
R3,1,Abstract Shop,G1,10000502,M1,816-455-8733,C
R3,1,AC Store,G2,10001103,nao informado,816-455-8733,C
R3,1,AC&E Shop,G1,10001263,M1,816-455-8733,C
R3,1,Acara Shop,G2,10001786,nao informado,816-455-8733,C
R3,1,Acc Supermarket,G2,10001818,nao informado,816-455-8733,C
R3,1,Accel Supermarket,G2,10002114,nao informado,816-455-8733,C
R3,1,Accent Store,G1,10002115,M1,816-455-8733,C
R3,1,Access Store,G1,10002128,M1,816-455-8733,C
R3,1,AccessWare Shop,G1,10002136,M1,816-455-8733,C
R3,1,Accidental Shop,G2,10002137,nao informado,816-455-8733,C
R3,1,ACCPAC Store,G2,10002138,nao informado,816-455-8733,C
R3,1,Accton Shop,G2,10002140,nao informado,816-455-8733,C
R3,1,AccuLAN Shop,G2,10002149,nao informado,816-455-8733,I
R3,1,Accumedic Store,G2,10002150,nao informado,816-455-8733,C
R3,1,ACES Supermarket,G1,10002155,M1,816-455-8733,C
R3,1,ACI Shop,G1,10002159,M1,816-455-8733,C
R3,1,ACRON Shop,G3,10002220,nao informado,816-455-8733,C
R3,1,ACS Shop,G2,10002240,nao informado,816-455-8733,C
R3,1,Acsior Shop,G1,10002412,M1,816-455-8733,C
R3,1,ACT Supermarket,G2,10002489,nao informado,816-455-8733,C
R3,1,Action Supermarket,G1,10002501,nao informado,816-455-8733,C
R3,1,ActionWorld Shop,G2,10002506,nao informado,816-455-8733,C
R3,1,ActivCard Shop,G1,10002520,M1,816-455-8733,C
R3,1,Active Shop,G1,10002526,M1,816-455-8733,C
R3,1,Active Store,G2,10002709,nao informado,816-455-8733,C
R3,1,Active Store,G2,10002765,nao informado,816-455-8733,C
R3,1,Active Supermarket,G2,10002746,nao informado,816-455-8733,C
R3,1,ActiveC Shop,G3,10002964,nao informado,816-455-8733,C
R3,1,activeDesign Shop,G2,10002969,nao informado,816-455-8733,C
R3,1,Ad Supermarket,G1,10003554,M1,816-455-8733,C
R3,1,Ad-vantage Shop,G2,10003687,nao informado,816-455-8733,C
R3,1,Associates Shop,G1,10003749,M1,816-455-8733,C
R3,1,Bechtel Supermarket,G2,10003795,nao informado,816-455-8733,C
R3,1,Beckman Market,G2,10003857,nao informado,816-455-8733,C
R3,1,Beech Supermarket,G2,10003882,nao informado,816-455-8733,C
R3,1,Bell Store,G1,10004207,M1,816-455-8733,C
R3,1,Bendix Store,G1,10004255,M1,816-455-8733,C
R3,1,Benedict Shop,G2,10004256,nao informado,816-455-8733,C
R3,1,Berkeley Supermarket,G2,10004302,M1,816-455-8733,C
R3,1,Besicorp Shop,G1,10004516,M1,816-455-8733,C
R3,1,Best Supermarket,G2,10004602,nao informado,816-455-8733,C
R3,1,Bezeq Shop,G1,10005043,M1,816-455-8733,C
R3,1,BF Supermarket,G2,10005099,nao informado,816-455-8733,C
R3,1,BH Supermarket,G2,10005236,nao informado,816-455-8733,C
R3,1,Bibb Store,G2,10005376,nao informado,816-455-8733,C
R3,1,BidCast Shop,G2,10005620,nao informado,816-455-8733,C
R3,1,Bien Supermarket,G2,10005688,nao informado,816-455-8733,C
R3,1,Big Shop,G1,10005810,M1,816-455-8733,C
R3,1,Big Store,G2,10005919,nao informado,816-455-8733,C
R3,1,Big Supermarket,G1,10005861,M1,816-455-8733,C
R3,1,Big Supermarket,G2,10005922,nao informado,816-455-8733,C
R3,1,Bigelow Store,G1,10006037,nao informado,816-455-8733,C
R3,1,BigJobs Shop,G2,10006093,nao informado,816-455-8733,C
R3,1,Bitstream Shop,G1,10006805,nao informado,816-455-8733,C
R3,1,Biz-comm Shop,G1,10006836,M1,816-455-8733,C
R3,1,Bizmarts Shop,G2,10006846,nao informado,816-455-8733,C
R3,1,BizNet Supermarket,G2,10006848,nao informado,816-455-8733,C
R3,1,BL Supermarket,G2,10006862,nao informado,816-455-8733,C
R3,1,Boott Store,G2,10006916,nao informado,816-455-8733,C
R3,1,Borden Supermarket,G2,10006917,nao informado,816-455-8733,C
R3,1,Bounds Megaplace,G2,10016588,M1,816-455-8733,C
R3,1,Brazilian Supermarket,G2,10006977,nao informado,816-455-8733,C
R3,1,Bre-X Shop,G1,10007117,M1,816-455-8733,C
R3,1,Brinco Store,G2,10007120,nao informado,816-455-8733,C
R3,1,C Market,G2,10007121,nao informado,816-455-8733,C
R3,1,C Store,G2,10007122,nao informado,816-455-8733,C
R3,1,C Supermarket,G2,10007123,nao informado,816-455-8733,C
R3,1,C&C Shop,G2,10007134,M1,816-455-8733,C
R3,1,C. Store,G1,10007163,M1,816-455-8733,C
R3,1,C3I Shop,G2,10007258,nao informado,816-455-8733,C
R3,1,Cabco Supermarket,G2,10007268,nao informado,816-455-8733,I
R3,1,Cadtex Shop,G1,10007309,M1,816-455-8733,C
R3,1,CAF Market,G2,10007355,nao informado,816-455-8733,C
R3,1,Cajun Shop,G2,10007448,nao informado,816-455-8733,C
R3,1,Cam-Built Supermarket,G2,10007577,nao informado,816-455-8733,C
R3,1,Camros Shop,G1,10007866,M1,816-455-8733,C
R3,1,Canter Shop,G2,10008134,M1,816-455-8733,C
R3,1,CAPCON Shop,G2,10008381,nao informado,816-455-8733,C
R3,1,Caprica Supermarket,G2,10008602,nao informado,816-455-8733,C
R3,1,CAPTA Shop,G2,10008638,nao informado,816-455-8733,C
R3,1,Caravelle Shop,G2,10008893,nao informado,816-455-8733,C
R3,1,Carden Supermarket,G2,10009156,nao informado,816-455-8733,C
R3,1,Caribian Supermarket,G2,10000455,nao informado,816-455-8733,C
R3,1,Champs Gigaplace,G1,10009606,M1,816-455-8733,C
R3,1,Chas Market,G2,10009623,nao informado,816-455-8733,I
R3,1,City Supermarket,G2,10000000,nao informado,816-455-8733,C
R3,1,Clearout Shop,G2,10009631,nao informado,816-455-8733,C
R3,1,ComeStore,G1,10007591,M1,816-455-8733,C
R3,1,Dan Store,G2,10009633,nao informado,816-455-8733,C
R3,1,Data Supermarket,G1,10009639,M1,816-455-8733,C
R3,1,David Store,G2,10009642,nao informado,816-455-8733,C
R3,1,David Store,G2,10009643,nao informado,816-455-8733,C
R3,1,Dayton Store,G1,10009650,M1,816-455-8733,C
R3,1,Dayton Supermarket,G2,10009647,nao informado,816-455-8733,C
R3,1,DCS Market,G2,10009656,nao informado,816-455-8733,C
R3,1,DCS Store,G2,10009654,nao informado,816-455-8733,C
R3,1,DC-Works Shop,G2,10009657,nao informado,816-455-8733,C
R3,1,De Store,G2,10009662,nao informado,816-455-8733,C
R3,1,De Store,G2,10009669,nao informado,816-455-8733,C
R3,1,DEAC Shop,G2,10009672,nao informado,816-455-8733,C
R3,1,Debenhams Supermarket,G2,10009679,nao informado,816-455-8733,C
R3,1,Deere Store,G1,10009863,M1,816-455-8733,C
R3,1,Degolyer Supermarket,G3,10009885,nao informado,816-455-8733,C
R3,1,"Dellovade, Supermarket",G2,10026055,nao informado,816-455-8733,C
R3,1,Diss Gigastore,G2,10023715,M1,816-455-8733,C
R3,1,E Supermarket,G2,10009985,M1,816-455-8733,C
R3,1,Earth Shop,G2,10010698,nao informado,816-455-8733,C
R3,1,ECI Supermarket,G2,10010855,nao informado,816-455-8733,C
R3,1,ECS Supermarket,G2,10010865,nao informado,816-455-8733,C
R3,1,EDA Supermarket,G2,10010882,nao informado,816-455-8733,I
R3,1,EDC Supermarket,G3,10010884,M1,816-455-8733,C
R3,1,Edia Shop,G3,10010887,nao informado,816-455-8733,C
R3,1,eDistrict Shop,G2,10010904,nao informado,816-455-8733,C
R3,1,ediSys Shop,G2,10010906,nao informado,816-455-8733,C
R3,1,edit.nl Shop,G2,10010912,M1,816-455-8733,C
R3,1,Editor Shop,G2,10010914,M1,816-455-8733,C
R3,1,Edorex Supermarket,G2,10010969,nao informado,816-455-8733,C
R3,1,EDP Shop,G2,10010970,nao informado,816-455-8733,C
R3,1,Eloi Supermarket,G2,10011018,nao informado,816-455-8733,C
R3,1,Elucidex Shop,G2,10011052,nao informado,816-455-8733,C
R3,1,EMC Shop,G2,10011093,M1,816-455-8733,C
R3,1,e-MDs Shop,G2,10011198,nao informado,816-455-8733,C
R3,1,Emergent Shop,G2,10011345,nao informado,816-455-8733,C
R3,1,Enterprises Shop,G2,10011355,nao informado,816-455-8733,C
R3,1,Ethyl Store,G2,10011398,nao informado,816-455-8733,C
R3,1,F. Supermarket,G2,10011459,nao informado,816-455-8733,C
R3,1,Farmland Supermarket,G2,10011499,nao informado,816-455-8733,C
R3,1,Farrell Supermarket,G2,10011546,nao informado,816-455-8733,C
R3,1,FCS Shop,G2,10011600,nao informado,816-455-8733,C
R3,1,Federated Supermarket,G2,10011732,nao informado,816-455-8733,C
R3,1,Felidae Enterprises,G2,10011734,nao informado,816-455-8733,C
R3,1,FenP Supermarket,G2,10011821,nao informado,816-455-8733,C
R3,1,Fentek Market,G2,10011842,nao informado,816-455-8733,C
R3,1,Ferrari Shop,G2,10011918,nao informado,816-455-8733,I
R3,1,FiberPlex Shop,G1,10011979,M1,816-455-8733,C
R3,1,FIBERWORKS Shop,G2,10011981,nao informado,816-455-8733,C
R3,1,Fibronics Shop,G2,10011997,nao informado,816-455-8733,C
R3,1,FICOM Shop,G3,10012023,nao informado,816-455-8733,C
R3,1,Fifth Store,G2,10012157,nao informado,816-455-8733,C
R3,1,Fifth Supermarket,G3,10012128,nao informado,816-455-8733,C
R3,1,Filene? Shop,G2,10012158,nao informado,816-455-8733,C
R3,1,Filetron Shop,G2,10012161,nao informado,816-455-8733,C
R3,1,Fills,G2,10012226,nao informado,816-455-8733,C
R3,1,Filmotype Shop,G2,10012234,nao informado,816-455-8733,C
R3,1,Fimetrics Supermarket,G3,10012235,nao informado,816-455-8733,C
R3,1,FIND/SVP Shop,G2,10012305,nao informado,816-455-8733,C
R3,1,Finest Supermarket,G2,10012369,nao informado,816-455-8733,C
R3,1,Finisar Shop,G2,10012399,nao informado,816-455-8733,C
R3,1,Finishing Shop,G2,10012422,nao informado,816-455-8733,C
R3,1,FireTrans Shop,G2,10012600,nao informado,816-455-8733,C
R3,1,Fokas Midstore,G2,10012715,M1,816-455-8733,C
R3,1,G.R. Supermarket,G1,10012761,M1,816-455-8733,C
R3,1,Gadzoox Supermarket,G2,10012792,nao informado,816-455-8733,C
R3,1,Gaecom Shop,G1,10012799,M1,816-455-8733,C
R3,1,Gailey Market,G2,10012851,nao informado,816-455-8733,C
R3,1,Gainunion Shop,G2,10012885,nao informado,816-455-8733,C
R3,1,Galaxy Store,G2,10012907,nao informado,816-455-8733,C
R3,1,Galaxy Supermarket,G2,10012927,nao informado,816-455-8733,C
R3,1,Gamacles Shop,G1,10013011,M1,816-455-8733,C
R3,1,GammaGraphX Store,G2,10013052,nao informado,816-455-8733,C
R3,1,Gammel Group,G3,10013061,nao informado,816-455-8733,C
R3,1,Gandalf Supermarket,G2,10013079,nao informado,816-455-8733,C
R3,1,Ganymede Shop,G2,10013080,nao informado,816-455-8733,C
R3,1,Garbee Supermarket,G3,10013127,M1,816-455-8733,C
R3,1,Gartner Supermarket,G2,10013188,nao informado,816-455-8733,C
R3,1,Garza Supermarket,G2,10013232,nao informado,816-455-8733,C
R3,1,GateMaster Shop,G2,10013332,nao informado,816-455-8733,C
R3,1,GCC Store,G3,10013376,nao informado,816-455-8733,C
R3,1,G-Com Supermarket,G2,10013397,nao informado,816-455-8733,C
R3,1,GDC Shop,G2,10013426,nao informado,816-455-8733,C
R3,1,GDSS Shop,G2,10013467,nao informado,816-455-8733,C
R3,1,GE Market,G2,10013472,nao informado,816-455-8733,C
R3,1,Geac Shop,G2,10013509,nao informado,816-455-8733,C
R3,1,GEAR Shop,G2,10013538,nao informado,816-455-8733,C
R3,1,GearSource Shop,G2,10013572,nao informado,816-455-8733,C
R3,1,Gebbie Store,G2,10013574,nao informado,816-455-8733,C
R3,1,Gehlken Supermarket,G2,10013670,nao informado,816-455-8733,C
R3,1,Gemini Supermarket,G2,10013765,nao informado,816-455-8733,C
R3,1,Greymac Trust Company,G2,10013870,nao informado,816-455-8733,C
R3,1,Grumman Market,G2,10013899,nao informado,816-455-8733,C
R3,1,Guarantee Supermarket,G1,10014043,M1,816-455-8733,C
R3,1,Harbor Store,G1,10014238,M1,816-455-8733,C
R3,1,Harbour Store,G2,10014264,nao informado,816-455-8733,C
R3,1,Harvard Supermarket,G2,10014495,nao informado,816-455-8733,C
R3,1,HarveyOpolis Shop,G1,10014540,M1,816-455-8733,C
R3,1,Hauppauge Supermarket,G2,10014546,nao informado,816-455-8733,C
R3,1,HBO Supermarket,G2,10014779,nao informado,816-455-8733,C
R3,1,HBS Shop,G1,10014802,M1,816-455-8733,C
R3,1,HCHS Shop,G2,10014803,nao informado,816-455-8733,C
R3,1,HCS Shop,G2,10014804,nao informado,816-455-8733,C
R3,1,Hederman Supermarket,G1,10015011,M1,816-455-8733,C
R3,1,Hekimian Store,G3,10015253,nao informado,816-455-8733,C
R3,1,Helfand Store,G1,10015267,M1,816-455-8733,C
R3,1,Helios Shop,G2,10015275,nao informado,816-455-8733,C
R3,1,Hennings,G2,10015495,M1,816-455-8733,C
R3,1,Hercules Supermarket,G2,10015686,nao informado,816-455-8733,C
R3,1,Hershey Supermarket,G2,10015783,nao informado,816-455-8733,I
R3,1,hesketh.com Shop,G1,10015789,M1,816-455-8733,C
R3,1,Hetrick Supermarket,G2,10015793,nao informado,816-455-8733,C
R3,1,Hewlett Supermarket,G2,10015886,nao informado,816-455-8733,C
R3,1,Hidden Market,G2,10015956,nao informado,816-455-8733,C
R3,1,High Store,G2,10016047,nao informado,816-455-8733,C
R3,1,High Supermarket,G2,10016045,nao informado,816-455-8733,C
R3,1,Hobart Store,G2,10016334,M1,816-455-8733,C
R3,1,Home Market,G2,10016564,nao informado,816-455-8733,C
R3,1,Home Store,G2,10016549,nao informado,816-455-8733,C
R3,1,Home Superstore,G2,10016548,nao informado,816-455-8733,C
R3,1,Hoovey SuperStore,G1,10006919,M1,816-455-8733,C
R3,1,iBEAM Shop,G1,10016780,M1,816-455-8733,C
R3,1,Ibis Shop,G2,10016807,M1,816-455-8733,C
R3,1,Icon Market,G2,10017054,nao informado,816-455-8733,C
