Sales Quantity,Sales Rep,Sales Price,Sales Margin Amount,Sales Cost Amount,Sales Amount Based on List Price,Sales Amount,Order Number,List Price,Line Number,Discount Amount,Invoice Date,Invoice Number
1,103,"221,04","15,32","205,72","467,53","221,04",118117,"467,53",38000,"246,49",11/02/2017,321558
1,103,"221,04","15,32","205,72","467,53","221,04",120119,"467,53",25000,"246,49",18/03/2017,324478
1,103,"221,04","15,32","205,72","467,53","221,04",123500,"467,53",44000,"246,49",23/12/2017,328903
1,103,"221,04","15,32","205,72","467,53","221,04",123844,"467,53",33000,"246,49",24/12/2017,329049
1,103,"221,04","15,32","205,72","467,53","221,04",126426,"467,53",1000,"246,49",07/05/2017,332551
1,103,"221,04","15,32","205,72","467,53","221,04",209154,"467,53",119000,"246,49",28/08/2018,111630
1,103,"221,04","15,32","205,72","467,53","221,04",219524,"467,53",119000,"246,49",28/02/2018,123972
1,103,"221,04","19,53","201,51","467,53","221,04",105579,"467,53",32000,"246,49",09/07/2017,306428
1,103,"221,04","20,97","200,07","467,53","221,04",102617,"467,53",39000,"246,49",27/05/2017,302347
1,103,"221,04","20,97","200,07","467,53","221,04",103657,"467,53",71000,"246,49",10/06/2017,303539
1,103,"221,16","'-5,23","226,39","420,99","221,16",111579,"420,99",2000,"199,83",11/10/2017,314421
1,103,"221,16","'-5,23","226,39","420,99","221,16",122937,"420,99",2000,"199,83",13/12/2017,327973
1,103,"223,28","79,07","144,21","408,04","223,28",208317,"408,04",23000,"184,76",15/08/2018,110555
1,103,"223,28","79,07","144,21","408,04","223,28",212334,"408,04",1000,"184,76",07/10/2018,115163
1,103,"223,28","79,07","144,21","408,04","223,28",218825,"408,04",23000,"184,76",15/02/2018,122926
1,103,"223,28","79,07","144,21","408,04","223,28",223606,"408,04",1000,"184,76",09/12/2018,128703
1,103,"223,54","108,4","115,14","408,52","223,54",204258,"408,52",24000,"184,98",05/06/2018,104284
1,103,"223,54","108,4","115,14","408,52","223,54",214297,"408,52",30000,"184,98",06/11/2018,117848
1,103,"223,54","86,97","136,57","408,52","223,54",208387,"408,52",18000,"184,98",15/08/2018,110558
1,103,"223,54","86,97","136,57","408,52","223,54",212124,"408,52",2000,"184,98",03/10/2018,114895
1,103,"223,54","86,97","136,57","408,52","223,54",218889,"408,52",18000,"184,98",15/02/2018,122929
1,103,"223,54","86,97","136,57","408,52","223,54",223414,"408,52",2000,"184,98",05/12/2018,128441
1,103,"225,46","141,23","84,23","412,03","225,46",212222,"412,03",38000,"186,57",09/10/2018,115367
1,103,"225,46","141,23","84,23","412,03","225,46",223500,"412,03",38000,"186,57",11/12/2018,128903
1,103,"227,04","151,06","75,98","414,91","227,04",211579,"414,91",1000,"187,87",29/09/2018,114421
1,103,"227,04","151,06","75,98","414,91","227,04",222937,"414,91",1000,"187,87",01/12/2018,127973
1,103,"227,67","21,95","205,72","467,53","227,67",319524,"467,53",119000,"239,86",20/02/2019,223972
1,103,"229,98","85,77","144,21","408,04","229,98",318825,"408,04",23000,"178,06",07/02/2019,222926
1,103,"230,25","24,53","205,72","467,53","230,25",206408,"467,53",45000,"237,28",01/08/2018,109247
1,103,"230,25","24,53","205,72","467,53","230,25",207251,"467,53",1000,"237,28",25/07/2018,108633
1,103,"230,25","24,53","205,72","467,53","230,25",207513,"467,53",38000,"237,28",31/07/2018,109166
1,103,"230,25","24,53","205,72","467,53","230,25",209870,"467,53",25000,"237,28",04/09/2018,112144
1,103,"230,25","24,53","205,72","467,53","230,25",212222,"467,53",44000,"237,28",09/10/2018,115367
1,103,"230,25","24,53","205,72","467,53","230,25",212634,"467,53",33000,"237,28",10/10/2018,115517
1,103,"230,25","24,53","205,72","467,53","230,25",212634,"467,53",45000,"237,28",04/11/2018,117577
1,103,"230,25","24,53","205,72","467,53","230,25",212634,"467,53",46000,"237,28",06/11/2018,117835
1,103,"230,25","24,53","205,72","467,53","230,25",217163,"467,53",45000,"237,28",01/02/2018,121638
1,103,"230,25","24,53","205,72","467,53","230,25",217890,"467,53",1000,"237,28",25/01/2018,121039
1,103,"230,25","24,53","205,72","467,53","230,25",218117,"467,53",38000,"237,28",31/01/2018,121558
1,103,"230,25","24,53","205,72","467,53","230,25",220119,"467,53",25000,"237,28",06/03/2018,124478
1,103,"230,25","24,53","205,72","467,53","230,25",223500,"467,53",44000,"237,28",11/12/2018,128903
1,103,"230,25","24,53","205,72","467,53","230,25",223844,"467,53",33000,"237,28",12/12/2018,129049
1,103,"230,25","24,53","205,72","467,53","230,25",226426,"467,53",1000,"237,28",25/04/2018,132551
1,103,"230,25","28,74","201,51","467,53","230,25",205579,"467,53",32000,"237,28",27/06/2018,106428
1,103,"230,25","30,18","200,07","467,53","230,25",202617,"467,53",39000,"237,28",15/05/2018,102347
1,103,"230,25","30,18","200,07","467,53","230,25",203657,"467,53",71000,"237,28",29/05/2018,103539
1,103,"230,25","93,68","136,57","408,52","230,25",318889,"408,52",18000,"178,27",07/02/2019,222929
1,103,"230,37","3,98","226,39","420,99","230,37",211579,"420,99",2000,"190,62",29/09/2018,114421
1,103,"230,37","3,98","226,39","420,99","230,37",222937,"420,99",2000,"190,62",01/12/2018,127973
1,103,"230,98","94,99","135,99","439,7","230,98",102026,"439,7",13001,"208,72",13/05/2017,300965
1,103,"230,98","94,99","135,99","439,7","230,98",102869,"439,7",4000,"208,72",28/05/2017,302488
1,103,"230,98","94,99","135,99","439,7","230,98",103657,"439,7",35000,"208,72",10/06/2017,303539
1,103,"230,98","94,99","135,99","439,7","230,98",103662,"439,7",11000,"208,72",08/06/2017,303323
1,103,"230,98","94,99","135,99","439,7","230,98",104250,"439,7",15000,"208,72",17/06/2017,304281
1,103,"230,98","94,99","135,99","439,7","230,98",104450,"439,7",1000,"208,72",18/06/2017,304428
1,103,"230,98","94,99","135,99","439,7","230,98",105578,"439,7",12000,"208,72",08/07/2017,306251
1,103,"230,98","96,31","134,67","439,7","230,98",105984,"439,7",3000,"208,72",23/07/2017,307398
1,103,"230,98","96,31","134,67","439,7","230,98",106402,"439,7",12000,"208,72",23/07/2017,307422
1,103,"230,98","96,31","134,67","439,7","230,98",109871,"439,7",17000,"208,72",17/09/2017,312243
1,103,"230,98","96,31","134,67","439,7","230,98",113231,"439,7",18000,"208,72",19/11/2017,317968
1,103,"230,98","96,31","134,67","439,7","230,98",114300,"439,7",19000,"208,72",18/11/2017,317850
1,103,"230,98","96,31","134,67","439,7","230,98",116776,"439,7",3000,"208,72",22/01/2017,319828
1,103,"230,98","96,31","134,67","439,7","230,98",117158,"439,7",12000,"208,72",22/01/2017,319852
1,103,"230,98","96,31","134,67","439,7","230,98",120120,"439,7",17000,"208,72",19/03/2017,324576
1,103,"230,98","96,31","134,67","439,7","230,98",125496,"439,7",3000,"208,72",23/04/2017,331340
1,103,"230,98","96,31","134,67","439,7","230,98",125836,"439,7",12000,"208,72",23/04/2017,331364
1,103,"237,16","31,44","205,72","467,53","237,16",317163,"467,53",45000,"230,37",24/01/2019,221638
1,103,"237,16","31,44","205,72","467,53","237,16",317890,"467,53",1000,"230,37",17/01/2019,221039
1,103,"237,16","31,44","205,72","467,53","237,16",318117,"467,53",38000,"230,37",23/01/2019,221558
1,103,"237,16","31,44","205,72","467,53","237,16",320119,"467,53",25000,"230,37",27/02/2019,224478
1,103,"240,6","104,61","135,99","439,7","240,6",202026,"439,7",13001,"199,1",01/05/2018,100965
1,103,"240,6","104,61","135,99","439,7","240,6",202869,"439,7",4000,"199,1",16/05/2018,102488
1,103,"240,6","104,61","135,99","439,7","240,6",203657,"439,7",35000,"199,1",29/05/2018,103539
1,103,"240,6","104,61","135,99","439,7","240,6",203662,"439,7",11000,"199,1",27/05/2018,103323
1,103,"240,6","104,61","135,99","439,7","240,6",204250,"439,7",15000,"199,1",05/06/2018,104281
1,103,"240,6","104,61","135,99","439,7","240,6",204450,"439,7",1000,"199,1",06/06/2018,104428
1,103,"240,6","104,61","135,99","439,7","240,6",205578,"439,7",12000,"199,1",26/06/2018,106251
1,103,"240,6","105,93","134,67","439,7","240,6",205984,"439,7",3000,"199,1",11/07/2018,107398
1,103,"240,6","105,93","134,67","439,7","240,6",206402,"439,7",12000,"199,1",11/07/2018,107422
1,103,"240,6","105,93","134,67","439,7","240,6",209871,"439,7",17000,"199,1",05/09/2018,112243
1,103,"240,6","105,93","134,67","439,7","240,6",213231,"439,7",18000,"199,1",07/11/2018,117968
1,103,"240,6","105,93","134,67","439,7","240,6",214300,"439,7",19000,"199,1",06/11/2018,117850
1,103,"240,6","105,93","134,67","439,7","240,6",216776,"439,7",3000,"199,1",11/01/2018,119828
1,103,"240,6","105,93","134,67","439,7","240,6",217158,"439,7",12000,"199,1",11/01/2018,119852
1,103,"240,6","105,93","134,67","439,7","240,6",220120,"439,7",17000,"199,1",07/03/2018,124576
1,103,"240,6","105,93","134,67","439,7","240,6",225496,"439,7",3000,"199,1",11/04/2018,131340
1,103,"240,6","105,93","134,67","439,7","240,6",225836,"439,7",12000,"199,1",11/04/2018,131364
1,103,"247,82","113,15","134,67","439,7","247,82",316776,"439,7",3000,"191,88",03/01/2019,219828
1,103,"247,82","113,15","134,67","439,7","247,82",317158,"439,7",12000,"191,88",03/01/2019,219852
1,103,"247,82","113,15","134,67","439,7","247,82",320120,"439,7",17000,"191,88",28/02/2019,224576
1,103,"247,98","88,84","159,14","491,72","247,98",109154,"491,72",74000,"243,74",09/09/2017,311630
1,103,"247,98","88,84","159,14","491,72","247,98",119524,"491,72",74000,"243,74",11/03/2017,323972
1,103,"249,52","91,49","158,03",475,"249,52",108764,475,2000,"225,48",14/10/2017,314701
1,103,"249,52","91,49","158,03",475,"249,52",121844,475,2000,"225,48",16/12/2017,328248
1,103,"251,4","155,53","95,87","478,56","251,4",107941,"478,56",1000,"227,16",16/08/2017,309465
1,103,"251,4","155,53","95,87","478,56","251,4",118494,"478,56",1000,"227,16",15/02/2017,321853
1,103,"255,22","92,72","162,5","485,84","255,22",109470,"485,84",1000,"230,62",27/09/2017,312997
1,103,"255,22","92,72","162,5","485,84","255,22",109871,"485,84",24000,"230,62",15/10/2017,314822
1,103,"255,22","92,72","162,5","485,84","255,22",119771,"485,84",1000,"230,62",29/03/2017,325308
1,103,"255,22","92,72","162,5","485,84","255,22",122009,"485,84",24000,"230,62",17/12/2017,328368
1,103,"258,31","88,48","169,83","491,72","258,31",102255,"491,72",1000,"233,41",18/05/2017,301371
1,103,"258,31","88,48","169,83","491,72","258,31",102617,"491,72",30000,"233,41",03/06/2017,302963
1,103,"258,31","88,48","169,83","491,72","258,31",105578,"491,72",18000,"233,41",08/07/2017,306251
1,103,"258,31","99,17","159,14","491,72","258,31",111609,"491,72",1000,"233,41",11/10/2017,314425
1,103,"258,31","99,17","159,14","491,72","258,31",122959,"491,72",1000,"233,41",13/12/2017,327977
1,103,"258,31","99,17","159,14","491,72","258,31",209154,"491,72",74000,"233,41",28/08/2018,111630
1,103,"258,31","99,17","159,14","491,72","258,31",219524,"491,72",74000,"233,41",28/02/2018,123972
1,103,"259,42","52,19","207,23","493,85","259,42",106610,"493,85",2000,"234,43",27/07/2017,307674
1,103,"259,42","52,19","207,23","493,85","259,42",117343,"493,85",2000,"234,43",26/01/2017,320096
1,103,"259,42","52,19","207,23","493,85","259,42",125997,"493,85",2000,"234,43",27/04/2017,331608
1,103,"259,92","101,89","158,03",475,"259,92",208764,475,2000,"215,08",02/10/2018,114701
1,103,"259,92","101,89","158,03",475,"259,92",221844,475,2000,"215,08",04/12/2018,128248
1,103,"261,05","206,26","54,79","517,65","261,05",109154,"517,65",152000,"256,6",30/09/2017,313382
1,103,"261,05","206,26","54,79","517,65","261,05",119524,"517,65",152000,"256,6",01/04/2017,325686
1,103,"261,05","206,26","54,79","517,65","261,05",121899,"517,65",152000,"256,6",02/12/2017,326947
1,103,"261,87",166,"95,87","478,56","261,87",207941,"478,56",1000,"216,69",04/08/2018,109465
1,103,"261,87",166,"95,87","478,56","261,87",218494,"478,56",1000,"216,69",04/02/2018,121853
1,103,"265,85","103,35","162,5","485,84","265,85",209470,"485,84",1000,"219,99",15/09/2018,112997
1,103,"265,85","103,35","162,5","485,84","265,85",209871,"485,84",24000,"219,99",03/10/2018,114822
1,103,"265,85","103,35","162,5","485,84","265,85",219771,"485,84",1000,"219,99",17/03/2018,125308
1,103,"265,85","103,35","162,5","485,84","265,85",222009,"485,84",24000,"219,99",05/12/2018,128368
1,103,"266,06","106,92","159,14","491,72","266,06",319524,"491,72",74000,"225,66",20/02/2019,223972
1,103,"266,73","102,63","164,1","507,75","266,73",102869,"507,75",7000,"241,02",04/06/2017,303084
1,103,"266,73","102,63","164,1","507,75","266,73",104930,"507,75",1000,"241,02",09/07/2017,306379
1,103,"266,73","102,63","164,1","507,75","266,73",105463,"507,75",1000,"241,02",06/07/2017,305991
1,103,"269,07","109,93","159,14","491,72","269,07",211609,"491,72",1000,"222,65",29/09/2018,114425
1,103,"269,07","109,93","159,14","491,72","269,07",222959,"491,72",1000,"222,65",01/12/2018,127977
1,103,"269,07","99,24","169,83","491,72","269,07",202255,"491,72",1000,"222,65",06/05/2018,101371
1,103,"269,07","99,24","169,83","491,72","269,07",202617,"491,72",30000,"222,65",22/05/2018,102963
1,103,"269,07","99,24","169,83","491,72","269,07",205578,"491,72",18000,"222,65",26/06/2018,106251
1,103,"269,73","173,86","95,87","478,56","269,73",318494,"478,56",1000,"208,83",27/01/2019,221853
1,103,"270,23",63,"207,23","493,85","270,23",206610,"493,85",2000,"223,62",15/07/2018,107674
1,103,"270,23",63,"207,23","493,85","270,23",217343,"493,85",2000,"223,62",15/01/2018,120096
1,103,"270,23",63,"207,23","493,85","270,23",225997,"493,85",2000,"223,62",15/04/2018,131608
1,103,"270,6","116,7","153,9","515,14","270,6",110524,"515,14",1000,"244,54",23/09/2017,312774
1,103,"270,6","116,7","153,9","515,14","270,6",120691,"515,14",1000,"244,54",25/03/2017,325090
1,103,"271,93","217,14","54,79","517,65","271,93",209154,"517,65",152000,"245,72",18/09/2018,113382
1,103,"271,93","217,14","54,79","517,65","271,93",219524,"517,65",152000,"245,72",20/03/2018,125686
1,103,"271,93","217,14","54,79","517,65","271,93",221899,"517,65",152000,"245,72",20/11/2018,126947
1,103,"273,83","111,33","162,5","485,84","273,83",319771,"485,84",1000,"212,01",10/03/2019,225308
1,103,"277,84","113,74","164,1","507,75","277,84",202869,"507,75",7000,"229,91",23/05/2018,103084
1,103,"277,84","113,74","164,1","507,75","277,84",204930,"507,75",1000,"229,91",27/06/2018,106379
1,103,"277,84","113,74","164,1","507,75","277,84",205463,"507,75",1000,"229,91",24/06/2018,105991
1,103,"278,34","71,11","207,23","493,85","278,34",317343,"493,85",2000,"215,51",07/01/2019,220096
1,103,"280,09","225,3","54,79","517,65","280,09",319524,"517,65",152000,"237,56",13/03/2019,225686
1,103,"280,7","114,4","166,3","556,63","280,7",109154,"556,63",68000,"275,93",09/09/2017,311630
1,103,"280,7","114,4","166,3","556,63","280,7",119524,"556,63",68000,"275,93",11/03/2017,323972
1,103,"281,88","127,98","153,9","515,14","281,88",210524,"515,14",1000,"233,26",11/09/2018,112774
1,103,"281,88","127,98","153,9","515,14","281,88",220691,"515,14",1000,"233,26",13/03/2018,125090
1,103,"288,22","166,74","121,48","548,66","288,22",106575,"548,66",1000,"260,44",26/07/2017,307577
1,103,"288,22","166,74","121,48","548,66","288,22",117308,"548,66",1000,"260,44",25/01/2017,320002
1,103,"288,22","166,74","121,48","548,66","288,22",125965,"548,66",1000,"260,44",26/04/2017,331514
1,103,"288,22","172,59","115,63","548,66","288,22",108040,"548,66",2000,"260,44",19/08/2017,309781
1,103,"288,22","172,59","115,63","548,66","288,22",111464,"548,66",30000,"260,44",07/10/2017,314087
1,103,"288,22","172,59","115,63","548,66","288,22",112199,"548,66",3000,"260,44",19/10/2017,315118
1,103,"288,22","172,59","115,63","548,66","288,22",118589,"548,66",2000,"260,44",18/02/2017,322167
1,103,"288,22","172,59","115,63","548,66","288,22",121411,"548,66",30000,"260,44",08/04/2017,326383
1,103,"288,22","172,59","115,63","548,66","288,22",122829,"548,66",30000,"260,44",09/12/2017,327644
1,103,"288,22","172,59","115,63","548,66","288,22",123479,"548,66",3000,"260,44",21/12/2017,328658
1,103,"288,42","79,69","208,73",575,"288,42",110270,575,45000,"286,58",24/09/2017,312860
1,103,"288,42","79,69","208,73",575,"288,42",120474,575,45000,"286,58",26/03/2017,325175
1,103,"288,42","85,29","203,13",575,"288,42",111464,575,38000,"286,58",07/10/2017,314087
1,103,"288,42","85,29","203,13",575,"288,42",112634,575,40000,"286,58",22/10/2017,315517
1,103,"288,42","85,29","203,13",575,"288,42",121411,575,38000,"286,58",08/04/2017,326383
1,103,"288,42","85,29","203,13",575,"288,42",122829,575,38000,"286,58",09/12/2017,327644
1,103,"288,42","85,29","203,13",575,"288,42",123844,575,40000,"286,58",24/12/2017,329049
1,103,"290,34","136,44","153,9","515,14","290,34",320691,"515,14",1000,"224,8",06/03/2019,225090
1,103,"291,22","81,75","209,47","577,46","291,22",109154,"577,46",97000,"286,24",09/09/2017,311630
1,103,"291,22","81,75","209,47","577,46","291,22",119524,"577,46",97000,"286,24",11/03/2017,323972
1,103,"292,4","126,1","166,3","556,63","292,4",209154,"556,63",68000,"264,23",28/08/2018,111630
1,103,"292,4","126,1","166,3","556,63","292,4",219524,"556,63",68000,"264,23",28/02/2018,123972
1,103,"292,41","124,66","167,75","556,63","292,41",102223,"556,63",1000,"264,22",19/05/2017,301499
1,103,"292,41","124,66","167,75","556,63","292,41",102617,"556,63",27000,"264,22",27/05/2017,302347
1,103,"292,41","126,11","166,3","556,63","292,41",107513,"556,63",30000,"264,22",12/08/2017,309166
1,103,"292,41","126,11","166,3","556,63","292,41",113248,"556,63",29000,"264,22",18/11/2017,317839
1,103,"292,41","126,11","166,3","556,63","292,41",118117,"556,63",30000,"264,22",11/02/2017,321558
1,103,"292,41","126,4","166,01","556,63","292,41",105579,"556,63",15000,"264,22",09/07/2017,306428
1,103,"294,72","96,73","197,99","561,04","294,72",108387,"561,04",15000,"266,32",10/09/2017,311762
1,103,"294,72","96,73","197,99","561,04","294,72",118889,"561,04",15000,"266,32",12/03/2017,324098
1,103,"300,23","178,75","121,48","548,66","300,23",206575,"548,66",1000,"248,43",14/07/2018,107577
1,103,"300,23","178,75","121,48","548,66","300,23",217308,"548,66",1000,"248,43",14/01/2018,120002
1,103,"300,23","178,75","121,48","548,66","300,23",225965,"548,66",1000,"248,43",14/04/2018,131514
1,103,"300,23","184,6","115,63","548,66","300,23",208040,"548,66",2000,"248,43",07/08/2018,109781
1,103,"300,23","184,6","115,63","548,66","300,23",211464,"548,66",30000,"248,43",25/09/2018,114087
1,103,"300,23","184,6","115,63","548,66","300,23",212199,"548,66",3000,"248,43",07/10/2018,115118
1,103,"300,23","184,6","115,63","548,66","300,23",218589,"548,66",2000,"248,43",07/02/2018,122167
1,103,"300,23","184,6","115,63","548,66","300,23",221411,"548,66",30000,"248,43",27/03/2018,126383
1,103,"300,23","184,6","115,63","548,66","300,23",222829,"548,66",30000,"248,43",27/11/2018,127644
1,103,"300,23","184,6","115,63","548,66","300,23",223479,"548,66",3000,"248,43",09/12/2018,128658
1,103,"300,44","91,71","208,73",575,"300,44",210270,575,45000,"274,56",12/09/2018,112860
1,103,"300,44","91,71","208,73",575,"300,44",220474,575,45000,"274,56",14/03/2018,125175
1,103,"300,44","97,31","203,13",575,"300,44",211464,575,38000,"274,56",25/09/2018,114087
1,103,"300,44","97,31","203,13",575,"300,44",212634,575,40000,"274,56",10/10/2018,115517
1,103,"300,44","97,31","203,13",575,"300,44",221411,575,38000,"274,56",27/03/2018,126383
1,103,"300,44","97,31","203,13",575,"300,44",222829,575,38000,"274,56",27/11/2018,127644
1,103,"300,44","97,31","203,13",575,"300,44",223844,575,40000,"274,56",12/12/2018,129049
1,103,"301,17","134,87","166,3","556,63","301,17",319524,"556,63",68000,"255,46",20/02/2019,223972
1,103,"302,05","52,34","249,71",575,"302,05",102073,575,1000,"272,95",14/05/2017,301097
1,103,"303,35","93,88","209,47","577,46","303,35",209154,"577,46",97000,"274,11",28/08/2018,111630
1,103,"303,35","93,88","209,47","577,46","303,35",219524,"577,46",97000,"274,11",28/02/2018,123972
1,103,"304,59","136,84","167,75","556,63","304,59",202223,"556,63",1000,"252,04",07/05/2018,101499
1,103,"304,59","136,84","167,75","556,63","304,59",202617,"556,63",27000,"252,04",15/05/2018,102347
1,103,"304,59","138,29","166,3","556,63","304,59",207513,"556,63",30000,"252,04",31/07/2018,109166
1,103,"304,59","138,29","166,3","556,63","304,59",213248,"556,63",29000,"252,04",06/11/2018,117839
1,103,"304,59","138,29","166,3","556,63","304,59",218117,"556,63",30000,"252,04",31/01/2018,121558
1,103,"304,59","138,58","166,01","556,63","304,59",205579,"556,63",15000,"252,04",27/06/2018,106428
1,103,307,"109,01","197,99","561,04",307,208387,"561,04",15000,"254,04",29/08/2018,111762
1,103,"309,24","187,76","121,48","548,66","309,24",317308,"548,66",1000,"239,42",06/01/2019,220002
1,103,"309,24","193,61","115,63","548,66","309,24",318589,"548,66",2000,"239,42",30/01/2019,222167
1,103,"309,24","193,61","115,63","548,66","309,24",321411,"548,66",30000,"239,42",20/03/2019,226383
1,103,"309,45","100,72","208,73",575,"309,45",320474,575,45000,"265,55",07/03/2019,225175
1,103,"309,45","106,32","203,13",575,"309,45",321411,575,38000,"265,55",20/03/2019,226383
1,103,"312,45","102,98","209,47","577,46","312,45",319524,"577,46",97000,"265,01",20/02/2019,223972
1,103,"313,73","147,43","166,3","556,63","313,73",318117,"556,63",30000,"242,9",23/01/2019,221558
1,103,"314,64","64,93","249,71",575,"314,64",202073,575,1000,"260,36",02/05/2018,101097
1,103,"316,21","118,22","197,99","561,04","316,21",318889,"561,04",15000,"244,83",21/02/2019,224098
1,103,"324,77","52,71","272,06","634,11","324,77",103318,"634,11",8000,"309,34",20/07/2017,307019
1,103,"324,77","52,71","272,06","634,11","324,77",116097,"634,11",8000,"309,34",19/01/2017,319452
1,103,"324,77","52,71","272,06","634,11","324,77",124935,"634,11",8000,"309,34",20/04/2017,330964
